eGasI	evarth	eEst	ePv	ePd	erho	eIi	eIh
2.49895e-06	-2.19599	1.96319e-17	7.52865e-16	0.12	2.49902e-06	7.70544e-05	7.70566e-05
2.47134e-06	-2.2894	1.33899e-17	4.93078e-16	0.12	2.47141e-06	7.58628e-05	7.5865e-05
2.51197e-06	-2.19599	1.96319e-17	7.39122e-16	0.12	2.51204e-06	0.00108946	0.00108949
2.48253e-06	-2.30408	1.26267e-17	4.52494e-16	0.12	2.4826e-06	0.000343575	0.000343585
2.5233e-06	-2.21014	1.85071e-17	6.76632e-16	0.12	2.52337e-06	0.000787457	0.000787479
2.50564e-06	-2.27481	1.42e-17	5.04283e-16	0.12	2.50571e-06	0.000645141	0.000645158
2.50364e-06	-2.2894	1.33899e-17	4.71654e-16	0.12	2.50371e-06	0.000236853	0.000236859
2.57809e-06	-2.11272	2.80017e-17	1.03268e-15	0.12	2.57816e-06	0.000304361	0.00030437
2.53279e-06	-2.19599	1.96319e-17	7.15564e-16	0.12	2.53286e-06	0.00122777	0.00122781
2.53637e-06	-2.16792	2.20946e-17	8.20276e-16	0.12	2.53644e-06	0.00249836	0.00249843
2.58552e-06	-2.09235	3.06099e-17	1.13751e-15	0.12	2.58559e-06	0.00120841	0.00120845
2.57276e-06	-2.08559	3.15331e-17	1.19686e-15	0.12	2.57283e-06	0.000670598	0.000670617
2.52609e-06	-2.16792	2.20946e-17	8.31323e-16	0.12	2.52616e-06	0.000527052	0.000527067
2.53245e-06	-2.14708	2.41452e-17	9.15301e-16	0.12	2.53252e-06	0.000887329	0.000887354
2.53235e-06	-2.11272	2.80017e-17	1.09428e-15	0.12	2.53242e-06	0.00121658	0.00121661
2.54445e-06	-2.05876	3.55171e-17	1.43604e-15	0.12	2.54452e-06	0.00295272	0.0029528
2.55756e-06	-2.01253	4.376e-17	1.81567e-15	0.12	2.55764e-06	0.0030699	0.00306999
2.56572e-06	-1.98007	5.08144e-17	2.15262e-15	0.12	2.56579e-06	0.00371379	0.00371389
2.54981e-06	-1.98652	4.93166e-17	2.12398e-15	0.12	2.54989e-06	0.00304128	0.00304136
2.55628e-06	-1.94171	6.08226e-17	2.72043e-15	0.12	2.55635e-06	0.00324443	0.00324452
2.56145e-06	-1.91025	7.06781e-17	3.25105e-15	0.12	2.56152e-06	0.00154128	0.00154132
2.59595e-06	-1.84865	9.55325e-17	4.4938e-15	0.12	2.59603e-06	0.00186853	0.00186858
2.61834e-06	-1.77703	1.37387e-16	6.83765e-15	0.12	2.61842e-06	0.00173567	0.00173572
2.61367e-06	-1.72491	1.80654e-16	9.66792e-15	0.12	2.61374e-06	0.00363997	0.00364007
2.60457e-06	-1.68531	2.23691e-16	1.27672e-14	0.12	2.60464e-06	0.00192055	0.0019206
2.60246e-06	-1.66858	2.45195e-16	1.4358e-14	0.12	2.60253e-06	0.000790735	0.000790757
2.59333e-06	-1.64101	2.85803e-16	1.75849e-14	0.12	2.5934e-06	0.000689675	0.000689694
2.5804e-06	-1.61925	3.23159e-16	2.08452e-14	0.12	2.58047e-06	0.00072441	0.00072443
2.59013e-06	-1.6031	3.54398e-16	2.31021e-14	0.12	2.5902e-06	0.000210565	0.000210571
2.57527e-06	-1.6031	3.54398e-16	2.35628e-14	0.12	2.57534e-06	0.000312912	0.000312921
2.56131e-06	-1.6031	3.54398e-16	2.39881e-14	0.12	2.56139e-06	0.00047012	0.000470133
2.56885e-06	-1.58708	3.88708e-16	2.66534e-14	0.12	2.56892e-06	0.000370855	0.000370865
2.56966e-06	-1.57648	4.13432e-16	2.87573e-14	0.12	2.56973e-06	0.000205926	0.000205932
2.58475e-06	-1.55025	4.82468e-16	3.42204e-14	0.12	2.58482e-06	5.60024e-06	5.60039e-06
2.6462e-06	-1.48885	6.99914e-16	5.03637e-14	0.12	2.64628e-06	0.000358149	0.000358159
